"","Polling.Firm","Commissioners","Fieldwork.Start","Fieldwork.End","Scope","Sample.Size","Sample.Size.Qualification","Participation","Precision","PiS","PO","K15",".N","PSL","SLD","Wiosna","NN","LR","ZP","KO","Lewica","KP","Konfederacja","BS","KE","PL2050","Porozumienie","AU","AU.Porozumienie","TD","T.DPL","PJJ","Other"
"111","Kantar Public","Gazeta Wyborcza","2023-04-14","2023-04-19","National","981","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,41,32,7,4,8,NA,NA,8,NA,NA,1,NA,NA,NA,NA
"112","Research Partner","Ariadna","2023-04-14","2023-04-17","National","1047","Provided","Not Available","0.1%",NA,NA,1.5,NA,NA,NA,NA,NA,NA,36.5,29.6,9.3,4.1,9.6,NA,NA,7.5,NA,NA,1.2,NA,NA,NA,NA
"113","Social Changes","wPolityce.pl","2023-04-14","2023-04-17","National","1036","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,39,28,10,5,7,NA,NA,7,0,NA,NA,NA,NA,NA,NA
"114","Instytut Badań Pollster","SE.pl","2023-04-14","2023-04-16","National","1120","Provided","Not Available","0.1%",NA,NA,0.4,NA,NA,NA,NA,NA,NA,32.5,26.7,11.1,5.7,10.2,0.9,NA,9.5,0.6,NA,NA,NA,1.1,NA,NA
"115","IBRiS","Rzeczpospolita","2023-04-14","2023-04-15","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.9,27,10.2,7,11.3,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA
"116","Social Changes","wPolityce.pl","2023-04-07","2023-04-10","National","1052","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,39,28,9,5,8,NA,NA,8,0,NA,NA,NA,NA,NA,NA
"117","Estymator","DoRzeczy.pl","2023-04-04","2023-04-05","National","1032","Provided","Not Available","0.1%",NA,NA,1.2,NA,NA,NA,NA,NA,NA,36.1,25.8,10.3,7,11,NA,NA,7.9,NA,NA,0.5,NA,NA,NA,NA
"118","IBRiS","Wydarzenia","2023-04-04","2023-04-05","National","1005","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,25.2,10.1,6.9,12.6,NA,NA,8.5,NA,NA,0.9,NA,NA,NA,NA
"119","Research Partner","Ariadna","2023-03-31","2023-04-03","National","1056","Provided","Not Available","0.1%",NA,NA,1.5,NA,NA,NA,NA,NA,NA,36,30,7.9,5.3,8.6,NA,NA,8.9,NA,NA,1.2,NA,NA,NA,NA
"120","Social Changes","wPolityce.pl","2023-03-31","2023-04-03","National","1047","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,37,29,11,5,8,NA,NA,7,0,NA,NA,NA,NA,NA,NA
"121","United Surveys","WP.pl","2023-03-30","2023-04-02","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.7,26.4,11.3,6.5,10.5,NA,NA,9.6,NA,NA,0,NA,NA,NA,NA
"122","Social Changes","wPolityce.pl","2023-03-24","2023-03-27","National","1047","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,37,30,9,5,8,NA,NA,7,0,NA,NA,NA,NA,NA,NA
"123","PGB Opinium","","2023-03-22","2023-03-25","National","1000","Provided","Not Available","0.1%",NA,NA,0.9,NA,NA,NA,NA,NA,NA,35.7,28.3,8.1,4.8,11.4,1.8,NA,8.5,NA,0.6,NA,NA,NA,NA,NA
"124","Estymator","DoRzeczy.pl","2023-03-23","2023-03-24","National","1048","Provided","Not Available","0.1%",NA,NA,1,NA,NA,NA,NA,NA,NA,36.4,27.9,8.3,7.1,9.9,NA,NA,8.1,NA,NA,0.9,NA,NA,NA,NA
"125","IBSP","StanPolityki.pl","2023-03-20","2023-03-23","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.9,30.6,7.7,3.3,10,2.1,NA,8.4,NA,NA,NA,NA,NA,NA,NA
"126","Ipsos","OKO.press","2023-03-20","2023-03-23","National","1000","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36,28,8,5,12,NA,NA,6,NA,1,NA,NA,NA,NA,NA
"127","Kantar Public","Gazeta Wyborcza","2023-03-17","2023-03-22","National","981","Provided","Not Available","1%",NA,NA,4,NA,NA,NA,NA,NA,NA,35,26,9,5,8,NA,NA,9,NA,NA,1,NA,NA,NA,NA
"128","Social Changes","wPolityce.pl","2023-03-17","2023-03-20","National","1045","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,36,30,9,5,8,NA,NA,8,0,NA,NA,NA,NA,NA,NA
"129","United Surveys","WP.pl","2023-03-17","2023-03-19","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.6,27.1,10,6.9,10.1,NA,NA,8.8,NA,NA,0.2,NA,NA,NA,NA
"130","IBRiS","Rzeczpospolita","2023-03-17","2023-03-18","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2,28.6,9.2,6.7,9.8,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA
"131","Kantar","Fakty TVN and TVN24","2023-03-14","2023-03-16","National","1000","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,36,30,7,3,10,NA,NA,10,NA,NA,1,NA,NA,NA,NA
"132","IPSOS","DoRzeczy.pl","2023-03-13","2023-03-16","National","1000","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,26,9,5,8,NA,NA,9,NA,2,NA,NA,NA,NA,NA
"133","IBRiS","Onet.pl","2023-03-13","2023-03-14","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,28.8,9.9,7.3,9.4,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA
"134","Social Changes","wPolityce.pl","2023-03-10","2023-03-13","National","1050","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,38,29,9,5,7,NA,NA,7,1,NA,NA,NA,NA,NA,NA
"135","Research Partner","Ariadna","2023-03-10","2023-03-13","National","1013","Provided","Not Available","0.1%",NA,NA,1,NA,NA,NA,NA,NA,NA,35.1,30,10,5.9,5.6,NA,NA,8.2,NA,NA,2.1,NA,NA,NA,NA
"136","Instytut Badań Pollster","SE.pl","2023-03-10","2023-03-13","National","1000","Provided","Not Available","0.1%",NA,NA,1,NA,NA,NA,NA,NA,NA,33.8,28.4,9.3,4.5,9.7,NA,NA,11.3,0.2,NA,NA,NA,NA,NA,NA
"137","Kantar Public","Forum Długiego Stołu","2023-03-01","2023-03-13","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7,22.7,10.3,4.5,12.1,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA
"138","Estymator","DoRzeczy.pl","2023-03-08","2023-03-09","National","1025","Provided","Not Available","0.1%",NA,NA,1.3,NA,NA,NA,NA,NA,NA,36.9,28.6,9.2,7.7,8,NA,NA,7.1,NA,NA,0.9,NA,NA,NA,NA
"139","Research Partner","Ariadna","2023-03-03","2023-03-06","National","1054","Provided","Not Available","0.1%",NA,NA,1.4,NA,NA,NA,NA,NA,NA,35.7,29,9.6,5.8,7.7,NA,NA,8.8,NA,NA,1.4,NA,NA,NA,NA
"140","Social Changes","wPolityce.pl","2023-03-03","2023-03-06","National","1045","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,38,29,9,7,7,NA,NA,8,0,NA,NA,NA,NA,NA,NA
"141","United Surveys","WP.pl","2023-03-03","2023-03-05","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3,30,8.8,7.4,7.8,NA,NA,7.6,NA,NA,1,NA,NA,NA,NA
"142","IBRiS","Radio ZET","2023-02-28","2023-03-01","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3,29.4,10,7.2,7.6,NA,NA,8.1,NA,NA,NA,NA,NA,NA,NA
"143","Social Changes","wPolityce.pl","2023-02-24","2023-02-27","National","1052","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,37,29,9,6,6,NA,NA,7,1,NA,NA,NA,NA,NA,NA
"144","IBSP","StanPolityki.pl","2023-02-24","2023-02-27","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.7,33.9,6.7,3.7,11.1,2,NA,7.3,NA,NA,NA,NA,NA,NA,NA
"145","Estymator","DoRzeczy.pl","2023-02-23","2023-02-24","National","1037","Provided","Not Available","0.1%",NA,NA,1.1,NA,NA,NA,NA,NA,NA,37.5,29.9,9.1,6.6,6.8,NA,NA,8,NA,NA,0.7,NA,NA,NA,NA
"146","Social Changes","wPolityce.pl","2023-02-17","2023-02-21","National","1070","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,35,31,9,5,6,NA,NA,9,1,NA,NA,NA,NA,NA,NA
"147","Research Partner","Ariadna","2023-02-17","2023-02-20","National","1022","Provided","Not Available","0.1%",NA,NA,1.7,NA,NA,NA,NA,NA,NA,34.3,32.5,8.2,4.8,6.8,NA,NA,10.4,0.4,NA,NA,NA,NA,NA,NA
"148","Kantar Public","","2023-02-15","2023-02-20","National","983","Provided","Not Available","0.1%",NA,NA,1.7,NA,NA,NA,NA,NA,NA,34.6,32.8,8.3,4.9,6.9,NA,NA,10.5,0.4,NA,NA,NA,NA,NA,NA
"149","United Surveys","WP.pl","2023-02-17","2023-02-19","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8,29.8,9.5,7.7,7.6,NA,NA,8.2,NA,NA,0.4,NA,NA,NA,NA
"150","IBRiS","Rzeczpospolita","2023-02-17","2023-02-18","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4,30.8,9.7,6.9,6.5,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA
"151","PGB Opinium","","2023-02-15","2023-02-18","National","1000","Provided","Not Available","0.1%",NA,NA,0.9,NA,NA,NA,NA,NA,NA,34.8,30.9,7.9,5,7.3,2,NA,10.3,NA,1,NA,NA,NA,NA,NA
"152","Social Changes","wPolityce.pl","2023-02-10","2023-02-13","National","1067","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,37,28,9,7,8,NA,NA,8,1,NA,NA,NA,NA,NA,NA
"153","Estymator","DoRzeczy.pl","2023-02-09","2023-02-10","National","1021","Provided","Not Available","0.1%",NA,NA,1.2,NA,NA,NA,NA,NA,NA,37.7,28.9,9.5,6.4,6.5,NA,NA,8.3,NA,NA,1.3,NA,NA,NA,NA
"154","Kantar","Fakty TVN and TVN24","2023-02-07","2023-02-08","National","1000","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,32,33,6,3,9,NA,NA,13,NA,0,2,NA,NA,NA,NA
"155","Social Changes","wPolityce.pl","2023-02-03","2023-02-07","National","1063","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,38,29,9,6,7,NA,NA,8,0,NA,NA,NA,NA,NA,NA
"156","Research Partner","Ariadna","2023-02-05","2023-02-06","National","1040","Provided","Not Available","0.1%",NA,NA,0.9,NA,NA,NA,NA,NA,NA,37.1,29.3,7.5,5.6,7.8,NA,NA,10.2,0.4,NA,NA,NA,NA,NA,NA
"157","United Surveys","WP.pl","2023-02-03","2023-02-05","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37,29.9,9.7,5.4,5.6,NA,NA,10.3,NA,NA,2.1,NA,NA,NA,NA
"158","IBRiS","Rzeczpospolita","2023-02-03","2023-02-04","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.1,30.7,10,5.7,6.3,NA,NA,9.3,NA,NA,NA,NA,NA,NA,NA
"159","Social Changes","wPolityce.pl","2023-01-27","2023-01-30","National","1083","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,35,29,10,5,7,NA,NA,9,0,NA,NA,NA,NA,NA,NA
"160","Instytut Badań Pollster","SE.pl","2023-01-28","2023-01-29","National","1088","Provided","Not Available","0.1%",NA,NA,1.1,NA,NA,NA,NA,NA,NA,34.8,29,10.2,5.1,6.8,NA,NA,11.3,1.1,NA,NA,NA,NA,NA,NA
"161","Estymator","DoRzeczy.pl","2023-01-26","2023-01-27","National","1035","Provided","Not Available","0.1%",NA,NA,1.4,NA,NA,NA,NA,NA,NA,37,28.8,8.9,6.6,7.6,NA,NA,9.1,NA,NA,NA,NA,NA,NA,NA
"162","United Surveys","DGP and RMF FM","2023-01-22","2023-01-23","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37,29.8,9.1,6.6,7,NA,NA,9.3,NA,NA,NA,NA,NA,NA,NA
"163","Social Changes","wPolityce.pl","2023-01-20","2023-01-23","National","1053","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,35,30,10,5,7,NA,NA,9,1,NA,NA,NA,NA,NA,NA
"164","Kantar Public","","2023-01-18","2023-01-23","National","983","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,36,36,9,2,6,NA,NA,9,0,1,NA,NA,NA,NA,NA
"165","United Surveys","WP.pl","2023-01-20","2023-01-22","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2,29.3,9.1,6.7,7,NA,NA,10.5,NA,0.2,NA,NA,NA,NA,NA
"166","Social Changes","wPolityce.pl","2023-01-13","2023-01-16","National","1061","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,37,30,9,5,6,NA,NA,10,0,NA,NA,NA,NA,NA,NA
"167","Research Partner","Ariadna","2023-01-13","2023-01-16","National","1033","Provided","Not Available","0.1%",NA,NA,2.6,NA,NA,NA,NA,NA,NA,35.6,28.6,8.6,4.9,7.4,NA,NA,9.7,0.5,NA,NA,NA,NA,NA,NA
"168","IBRiS","Radio ZET","2023-01-14","2023-01-15","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.5,29.7,9.7,6.4,7.6,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
"169","IBSP","StanPolityki.pl","2023-01-10","2023-01-15","National","800","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3,34.3,4.3,4.1,8.4,NA,NA,13.2,NA,1.2,NA,NA,NA,NA,NA
"170","Estymator","DoRzeczy.pl","2023-01-12","2023-01-13","National","1029","Provided","Not Available","0.1%",NA,NA,1.6,NA,NA,NA,NA,NA,NA,36.1,29.4,10.1,6.7,7.4,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA
"171","Social Changes","wPolityce.pl","2023-01-06","2023-01-09","National","1056","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,34,29,9,7,7,NA,NA,10,0,NA,NA,NA,NA,NA,NA
"172","United Surveys","WP.pl","2023-01-06","2023-01-08","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,29.5,8.8,6.5,7.5,NA,NA,10.2,NA,2.2,NA,NA,NA,NA,NA
"173","Social Changes","wPolityce.pl","2022-12-30","2023-01-02","National","1051","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,37,28,8,5,9,NA,NA,11,0,NA,NA,NA,NA,NA,NA
"174","Estymator","DoRzeczy.pl","2022-12-29","2022-12-30","National","1022","Provided","Not Available","0.1%",NA,NA,1.5,NA,NA,NA,NA,NA,NA,36.3,28.8,10.3,6.7,6.7,NA,NA,9.4,NA,NA,NA,NA,NA,NA,NA
"175","Social Changes","wPolityce.pl","2022-12-23","2022-12-27","National","1054","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,39,28,9,5,7,NA,NA,9,1,NA,NA,NA,NA,NA,NA
"176","Ipsos","OKO.press","2022-12-19","2022-12-21","National","1000","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37,29,10,4,7,NA,NA,11,NA,1,NA,NA,NA,NA,NA
"177","Instytut Badań Pollster","SE.pl","2022-12-20","2022-12-20","National","1000","Provided","Not Available","0.1%",NA,NA,1,NA,NA,NA,NA,NA,NA,31,29.8,12,5.2,7.9,NA,NA,12,1.1,NA,NA,NA,NA,NA,NA
"178","IBRiS","Radio ZET","2022-12-19","2022-12-20","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.7,28.6,9.9,7.3,6.6,NA,NA,11.9,NA,NA,NA,NA,NA,NA,NA
"179","Social Changes","wPolityce.pl","2022-12-16","2022-12-19","National","1081","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,38,30,8,4,6,NA,NA,9,1,NA,NA,NA,NA,NA,NA
"180","United Surveys","WP.pl","2022-12-16","2022-12-16","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4,30.5,10.5,7.1,4.4,NA,NA,11.1,NA,1,NA,NA,NA,NA,NA
"181","Estymator","DoRzeczy.pl","2022-12-15","2022-12-16","National","1039","Provided","Not Available","0.1%",NA,NA,1.8,NA,NA,NA,NA,NA,NA,35.3,29.4,11,6.7,6.1,NA,NA,9.2,NA,NA,NA,NA,NA,NA,NA
"182","Kantar","Fakty TVN and TVN24","2022-12-09","2022-12-15","National","1001","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,34,33,6,3,10,NA,NA,12,0,1,NA,NA,NA,NA,NA
"183","Social Changes","wPolityce.pl","2022-12-09","2022-12-12","National","1076","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,38,27,8,4,9,NA,NA,10,1,NA,NA,NA,NA,NA,NA
"184","Research Partner","Ariadna","2022-12-09","2022-12-12","National","1047","Provided","Not Available","0.1%",NA,NA,2,NA,NA,NA,NA,NA,NA,32.6,32.3,7.3,5.1,7.9,NA,NA,10.8,0.6,NA,NA,NA,NA,NA,NA
"185","IBRiS","Onet.pl","2022-12-07","2022-12-08","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7,29.5,10.5,7.1,6.1,NA,NA,10.3,NA,NA,NA,NA,NA,NA,NA
"186","Kantar Public","","2022-12-02","2022-12-07","National","970","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,31,36,11,2,6,NA,NA,10,1,1,NA,NA,NA,NA,NA
"187","Social Changes","wPolityce.pl","2022-12-02","2022-12-05","National","1071","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,38,27,8,4,9,NA,NA,10,1,NA,NA,NA,NA,NA,NA
"188","United Surveys","WP.pl","2022-12-02","2022-12-04","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36,28.5,10.4,6.3,6.3,NA,NA,11.6,NA,0.8,NA,NA,NA,NA,NA
"189","IBRiS","Rzeczpospolita","2022-12-02","2022-12-03","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4,31,10.6,5.7,5.7,NA,NA,9.6,NA,NA,NA,NA,NA,NA,NA
"190","Social Changes","wPolityce.pl","2022-11-25","2022-11-28","National","1066","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,40,28,8,4,8,NA,NA,8,1,NA,NA,NA,NA,NA,NA
"191","Instytut Badań Pollster","SE.pl","2022-11-25","2022-11-27","National","1057","Provided","Not Available","0.1%",NA,NA,0.9,NA,NA,NA,NA,NA,NA,32.5,30.4,10.8,3.9,8.7,NA,NA,11.6,0.8,NA,NA,NA,NA,NA,NA
"192","Estymator","DoRzeczy.pl","2022-11-24","2022-11-25","National","1041","Provided","Not Available","0.1%",NA,NA,1.4,NA,NA,NA,NA,NA,NA,35.7,28.4,11.2,7.4,5.1,NA,NA,10.4,NA,NA,NA,NA,NA,NA,NA
"193","IBRiS","Radio ZET","2022-11-20","2022-11-21","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.1,30.4,10.1,6.1,5.3,NA,NA,11.1,NA,NA,NA,NA,NA,NA,NA
"194","Social Changes","wPolityce.pl","2022-11-18","2022-11-21","National","1067","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,38,29,9,4,9,NA,NA,8,1,NA,NA,NA,NA,NA,NA
"195","United Surveys","WP.pl","2022-11-18","2022-11-20","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.5,29.3,9.8,5.5,4.6,NA,NA,13.5,NA,0.8,NA,NA,NA,NA,NA
"196","IBRiS","Onet.pl","2022-11-14","2022-11-15","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7,30,11,7.2,4.7,NA,NA,10.4,NA,NA,NA,NA,NA,NA,NA
"197","Research Partner","Ariadna","2022-11-11","2022-11-14","National","1079","Provided","Not Available","0.1%",NA,NA,1.4,NA,NA,NA,NA,NA,NA,34,29,8.2,6.4,7.8,NA,NA,11.5,0.9,NA,NA,NA,NA,NA,NA
"198","Social Changes","wPolityce.pl","2022-11-11","2022-11-14","National","1075","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,38,28,7,6,9,NA,NA,8,1,NA,NA,NA,NA,NA,NA
"199","United Surveys","DGP and RMF FM","2022-11-10","2022-11-12","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.1,27.5,10,7.1,4.2,NA,NA,15.1,NA,NA,NA,NA,NA,NA,NA
"200","Estymator","DoRzeczy.pl","2022-11-09","2022-11-10","National","1055","Provided","Not Available","0.1%",NA,NA,1.4,NA,NA,NA,NA,NA,NA,35.9,27.7,11.2,6.9,4.8,NA,NA,11.6,NA,NA,NA,NA,NA,NA,NA
"201","Ipsos","OKO.press","2022-11-07","2022-11-09","National","1015","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,34,29,10,5,6,NA,NA,13,NA,NA,NA,NA,NA,NA,NA
"202","Kantar Public","","2022-11-04","2022-11-09","National","975","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,35,33,8,5,5,NA,NA,11,NA,0,NA,NA,NA,NA,NA
"203","Social Changes","wPolityce.pl","2022-11-04","2022-11-07","National","1074","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,35,29,10,4,8,NA,NA,10,2,NA,NA,NA,NA,NA,NA
"204","IBRiS","Rzeczpospolita","2022-11-04","2022-11-05","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.2,29.7,10.9,6.1,5.4,NA,NA,11.7,NA,NA,NA,NA,NA,NA,NA
"205","United Surveys","WP.pl","2022-11-04","2022-11-05","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.2,28.3,10.4,6.7,4.8,NA,NA,14.2,NA,0.3,NA,NA,NA,NA,NA
"206","Research Partner","Ariadna","2022-10-28","2022-10-31","National","1064","Provided","Not Available","0.1%",NA,NA,1.3,NA,NA,NA,NA,NA,NA,34.9,31.1,7.1,5.8,7,NA,NA,11,0.4,NA,NA,NA,NA,NA,NA
"207","Social Changes","wPolityce.pl","2022-10-28","2022-10-31","National","1058","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,35,28,8,5,10,NA,NA,9,1,NA,NA,NA,NA,NA,NA
"208","Estymator","DoRzeczy.pl","2022-10-27","2022-10-28","National","1045","Provided","Not Available","0.1%",NA,NA,1.3,NA,NA,NA,NA,NA,NA,36.4,28.3,9.8,7.1,5.1,NA,NA,11.3,NA,NA,NA,NA,NA,NA,NA
"209","Social Changes","wPolityce.pl","2022-10-21","2022-10-24","National","1066","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,36,29,8,5,8,NA,NA,10,1,NA,NA,NA,NA,NA,NA
"210","United Surveys","WP.pl","2022-10-21","2022-10-23","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.9,27.7,8.1,7.5,3.9,NA,NA,15.7,NA,1.2,NA,NA,NA,NA,NA
"211","IBRiS","Rzeczpospolita","2022-10-21","2022-10-22","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7,29.7,10.3,6.9,5.8,NA,NA,10.7,NA,NA,NA,NA,NA,NA,NA
"212","IBSP","StanPolityki.pl","2022-10-17","2022-10-20","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,27,7,3.7,7.1,NA,NA,18.8,NA,1.9,NA,NA,NA,NA,NA
"213","Instytut Badań Pollster","SE.pl","2022-10-18","2022-10-19","National","1000","Provided","Not Available","0.1%",NA,NA,1,NA,NA,NA,NA,NA,NA,35.6,30.7,9,3.3,6,NA,NA,13.3,0.8,NA,NA,NA,NA,NA,NA
"214","Kantar Public","","2022-10-14","2022-10-19","National","982","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36,32,8,5,6,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
"215","Research Partner","Ariadna","2022-10-14","2022-10-17","National","1081","Provided","Not Available","0.1%",NA,NA,2,NA,NA,NA,NA,NA,NA,35.5,28.4,7.1,7.4,8.2,NA,NA,8.7,0.7,NA,NA,NA,NA,NA,NA
"216","Estymator","DoRzeczy.pl","2022-10-13","2022-10-14","National","1033","Provided","Not Available","0.1%",NA,NA,1.6,NA,NA,NA,NA,NA,NA,37.1,27.7,10.7,6.8,5.7,NA,NA,10.1,NA,NA,NA,NA,NA,NA,NA
"217","IBRiS","Onet.pl","2022-10-11","2022-10-13","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.9,30,9.2,6.2,6.2,NA,NA,12.4,NA,NA,NA,NA,NA,NA,NA
"218","Social Changes","wPolityce.pl","2022-10-07","2022-10-10","National","1077","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,36,30,9,3,7,NA,NA,10,1,NA,NA,NA,NA,NA,NA
"219","United Surveys","WP.pl","2022-10-07","2022-10-09","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.3,28.2,9.5,6,5.4,NA,NA,14.6,NA,NA,NA,NA,NA,NA,NA
"220","IBRiS","Radio ZET","2022-10-04","2022-10-05","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.3,31.1,9.3,6.3,5.6,NA,NA,11.4,NA,NA,NA,NA,NA,NA,NA
"221","Social Changes","wPolityce.pl","2022-09-30","2022-10-03","National","1081","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,37,30,7,4,8,NA,NA,9,1,NA,NA,NA,NA,NA,NA
"222","Social Changes","wPolityce.pl","2022-09-23","2022-09-26","National","1088","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,36,28,9,4,9,NA,NA,11,1,NA,NA,NA,NA,NA,NA
"223","United Surveys","WP.pl","2022-09-23","2022-09-25","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8,28.5,9.9,5.4,6.5,NA,NA,12.9,NA,NA,NA,NA,NA,NA,NA
